"DR2IVD.Code.or.Value","DR2IVD.Value.Description","DR2IVD.Count","DR2IVD.Cumulative","DR2IVD.Skip.to.Item"
"0 to 56.8","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
