"DR2ILYCO.Code.or.Value","DR2ILYCO.Value.Description","DR2ILYCO.Count","DR2ILYCO.Cumulative","DR2ILYCO.Skip.to.Item"
"0 to 187018","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
