"BPQ050B.Code.or.Value","BPQ050B.Value.Description","BPQ050B.Count","BPQ050B.Cumulative","BPQ050B.Skip.to.Item"
"1","Yes",566,566,NA
"2","No",206,772,NA
"7","Refused",0,772,NA
"9","Don't know",0,772,NA
".","Missing",5272,6044,NA
