"SXD630.Code.or.Value","SXD630.Value.Description","SXD630.Count","SXD630.Cumulative","SXD630.Skip.to.Item"
"0 to 13149","Range of Values",932,932,NA
"77777","Refused",4,936,NA
"99999","Don't know",8,944,NA
".","Missing",3852,4796,NA
