"DXDSTLI.Code.or.Value","DXDSTLI.Value.Description","DXDSTLI.Count","DXDSTLI.Cumulative","DXDSTLI.Skip.to.Item"
"11657.3 to 110602.9","Range of Values",4441,4441,NA
".","Missing",1251,5692,NA
