"DSDSUPID.Code.or.Value","DSDSUPID.Value.Description","DSDSUPID.Count","DSDSUPID.Cumulative","DSDSUPID.Skip.to.Item"
"Supplement ID Number","Value was recorded",8285,8285,NA
"< blank >","Missing",0,8285,NA
