"RIDAGEYR.Code.or.Value","RIDAGEYR.Value.Description","RIDAGEYR.Count","RIDAGEYR.Cumulative","RIDAGEYR.Skip.to.Item"
"0 to 84","Range of Values",10178,10178,NA
"85",">= 85 years of age",170,10348,NA
".","Missing",0,10348,NA
