"RFXC108.Code.or.Value","RFXC108.Value.Description","RFXC108.Count","RFXC108.Cumulative","RFXC108.Skip.to.Item"
"-7.691 to 5.399","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
