"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"40 to 45","Range of Values",2,2,NA
"666","No response",0,2,NA
"888","Could not obtain",0,2,NA
".","Missing",1208,1210,NA
