"DSQTCARB.Code.or.Value","DSQTCARB.Value.Description","DSQTCARB.Count","DSQTCARB.Cumulative","DSQTCARB.Skip.to.Item"
"0 to 705.6","Range of Values",1067,1067,NA
".","Missing",9082,10149,NA
