"DS2ICARB.Code.or.Value","DS2ICARB.Value.Description","DS2ICARB.Count","DS2ICARB.Cumulative","DS2ICARB.Skip.to.Item"
"0.00001 to 63","Range of Values",1050,1050,NA
".","Missing",4548,5598,NA
