"RDD060.Code.or.Value","RDD060.Value.Description","RDD060.Count","RDD060.Cumulative","RDD060.Skip.to.Item"
"1 to 65","Range of Values",319,319,NA
"70","70 or more",2,321,NA
"77777","Refused",0,321,NA
"99999","Don't know",8,329,NA
".","Missing",9493,9822,NA
