"LBXSPH.Code.or.Value","LBXSPH.Value.Description","LBXSPH.Count","LBXSPH.Cumulative","LBXSPH.Skip.to.Item"
"1.6 to 7.2","Range of Values",5976,5976,NA
".","Missing",573,6549,NA
