"RDQ140.Code.or.Value","RDQ140.Value.Description","RDQ140.Count","RDQ140.Cumulative","RDQ140.Skip.to.Item"
"1","Yes",431,431,NA
"2","No",9387,9818,NA
"7","Refused",0,9818,NA
"9","Don't know",4,9822,NA
".","Missing",0,9822,NA
