"OHDEXCLU.Code.or.Value","OHDEXCLU.Value.Description","OHDEXCLU.Count","OHDEXCLU.Cumulative","OHDEXCLU.Skip.to.Item"
"1","Yes",168,168,NA
"2","No",4197,4365,NA
".","Missing",0,4365,NA
