"AUXRR183.Code.or.Value","AUXRR183.Value.Description","AUXRR183.Count","AUXRR183.Cumulative","AUXRR183.Skip.to.Item"
"-49 to 91","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
