"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",261,261,NA
"77","Refused",0,261,NA
"99","Don't know",0,261,NA
".","Missing",8695,8956,NA
