"DR1IFDFE.Code.or.Value","DR1IFDFE.Value.Description","DR1IFDFE.Count","DR1IFDFE.Cumulative","DR1IFDFE.Skip.to.Item"
"0 to 3727","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
