"WBXA050.Code.or.Value","WBXA050.Value.Description","WBXA050.Count","WBXA050.Cumulative","WBXA050.Skip.to.Item"
"-112.0537 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
