"ORXH55.Code.or.Value","ORXH55.Value.Description","ORXH55.Count","ORXH55.Cumulative","ORXH55.Skip.to.Item"
"1","Positive",33,33,NA
"2","Negative",4691,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
