"DXXPT41X.Code.or.Value","DXXPT41X.Value.Description","DXXPT41X.Count","DXXPT41X.Cumulative","DXXPT41X.Skip.to.Item"
"733.2 to 1268.7","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
