"DED061.Code.or.Value","DED061.Value.Description","DED061.Count","DED061.Cumulative","DED061.Skip.to.Item"
"1","Yes",454,454,NA
"2","No",3081,3535,NA
"7","Refused",1,3536,NA
"9","Don't know",3,3539,NA
".","Missing",0,3539,NA
