"DRD370FQ.Code.or.Value","DRD370FQ.Value.Description","DRD370FQ.Count","DRD370FQ.Cumulative","DRD370FQ.Skip.to.Item"
"1 to 4","Range of Values",40,40,NA
".","Missing",9603,9643,NA
