"LBCTC2.Code.or.Value","LBCTC2.Value.Description","LBCTC2.Count","LBCTC2.Cumulative","LBCTC2.Skip.to.Item"
"4.79 to 79.3","Range of Values",246,246,NA
".","Missing",1,247,NA
