"AUXLR171.Code.or.Value","AUXLR171.Value.Description","AUXLR171.Count","AUXLR171.Cumulative","AUXLR171.Skip.to.Item"
"-49 to 55","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
