"LBDBMNSI.Code.or.Value","LBDBMNSI.Value.Description","LBDBMNSI.Count","LBDBMNSI.Cumulative","LBDBMNSI.Skip.to.Item"
"28.58 to 946.5","Range of Values",7513,7513,NA
".","Missing",853,8366,NA
