"URXUHG.Code.or.Value","URXUHG.Value.Description","URXUHG.Count","URXUHG.Cumulative","URXUHG.Skip.to.Item"
"0.06 to 25.48","Range of Values",2578,2578,NA
".","Missing",114,2692,NA
