"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"80 to 413","Range of Values",4507,4507,NA
"7777","Refused",9,4516,NA
"9999","Don't know",273,4789,NA
".","Missing",1386,6175,NA
