"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"25 to 100","Range of Values",15,15,NA
"666","No response",0,15,NA
"888","Could not obtain",0,15,NA
".","Missing",4485,4500,NA
