"OPDDSE.Code.or.Value","OPDDSE.Value.Description","OPDDSE.Count","OPDDSE.Cumulative","OPDDSE.Skip.to.Item"
"0","No",2350,2350,NA
"1","Questionable",8,2358,NA
"2","Yes",50,2408,NA
".","Missing",526,2934,NA
