"DSD070.Code.or.Value","DSD070.Value.Description","DSD070.Count","DSD070.Cumulative","DSD070.Skip.to.Item"
"1","Yes",6357,6357,NA
"2","No",1887,8244,NA
".","Missing",25,8269,NA
