"CVDS1SY.Code.or.Value","CVDS1SY.Value.Description","CVDS1SY.Count","CVDS1SY.Cumulative","CVDS1SY.Skip.to.Item"
"74 to 234","Range of Values",2826,2826,NA
".","Missing",2326,5152,NA
