"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",906,906,""
"2","No",2974,3880,"DRD350C"
".","Missing",5458,9338,""
