"DIQ080.Code.or.Value","DIQ080.Value.Description","DIQ080.Count","DIQ080.Cumulative","DIQ080.Skip.to.Item"
"1","Yes",155,155,NA
"2","No",316,471,NA
"7","Refused",0,471,NA
"9","Don't know",9,480,NA
".","Missing",9013,9493,NA
