"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"0 to 48","Range of Values",8406,8406,NA
".","Missing",1847,10253,NA
