"AGQ030.Code.or.Value","AGQ030.Value.Description","AGQ030.Count","AGQ030.Cumulative","AGQ030.Skip.to.Item"
"1","Yes",231,231,NA
"2","No",640,871,NA
"7","Refused",0,871,NA
"9","Don't know",6,877,NA
".","Missing",8698,9575,NA
