"DXXGYTV.Code.or.Value","DXXGYTV.Value.Description","DXXGYTV.Count","DXXGYTV.Cumulative","DXXGYTV.Skip.to.Item"
"0","Valid",5426,5426,NA
"1","Invalid",22,5448,NA
".","Missing",585,6033,NA
