"LBXTBIN.Code.or.Value","LBXTBIN.Value.Description","LBXTBIN.Count","LBXTBIN.Cumulative","LBXTBIN.Skip.to.Item"
"1","Positive",543,543,NA
"2","Negative",6537,7080,NA
"3","Indeterminate",27,7107,NA
".","Missing",714,7821,NA
