"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"6 to 24","Range of Values",752,752,NA
".","Missing",6249,7001,NA
