"VIQ071.Code.or.Value","VIQ071.Value.Description","VIQ071.Count","VIQ071.Cumulative","VIQ071.Skip.to.Item"
"1","Yes",440,440,""
"2","No",4534,4974,"VIQ090"
"7","Refused",0,4974,"VIQ090"
"9","Don't Know",5,4979,"VIQ090"
".","Missing",2288,7267,""
