"MCQ180k.Code.or.Value","MCQ180k.Value.Description","MCQ180k.Count","MCQ180k.Cumulative","MCQ180k.Skip.to.Item"
"0 to 79","Range of Values",304,304,NA
"80","80 years or older",6,310,NA
"77777","Refused",0,310,NA
"99999","Don't know",10,320,NA
".","Missing",9450,9770,NA
