"TYXP236.Code.or.Value","TYXP236.Value.Description","TYXP236.Count","TYXP236.Cumulative","TYXP236.Skip.to.Item"
"-296 to -31","Range of Values",192,192,NA
".","Missing",8277,8469,NA
