"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 49","Range of Values",1262,1262,NA
"66666","50 years or more",50,1312,NA
"77777","Refused",0,1312,NA
"99999","Don't know",10,1322,NA
".","Missing",5679,7001,NA
