"URDOPMLC.Code.or.Value","URDOPMLC.Value.Description","URDOPMLC.Count","URDOPMLC.Cumulative","URDOPMLC.Skip.to.Item"
"0","detectable result",1423,1423,NA
"1","below detectable limit",575,1998,NA
".","Missing",127,2125,NA
