"LBDPFHSL.Code.or.Value","LBDPFHSL.Value.Description","LBDPFHSL.Count","LBDPFHSL.Cumulative","LBDPFHSL.Skip.to.Item"
"0","At or above the detection limit",2220,2220,NA
"1","Below lower detection limit",13,2233,NA
".","Missing",199,2432,NA
