"RFXC093.Code.or.Value","RFXC093.Value.Description","RFXC093.Count","RFXC093.Cumulative","RFXC093.Skip.to.Item"
"-7.428 to 5.646","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
