"DSQTVC.Code.or.Value","DSQTVC.Value.Description","DSQTVC.Count","DSQTVC.Cumulative","DSQTVC.Skip.to.Item"
"0.1 to 6060","Range of Values",2810,2810,NA
".","Missing",7339,10149,NA
