"WBXA057.Code.or.Value","WBXA057.Value.Description","WBXA057.Count","WBXA057.Cumulative","WBXA057.Skip.to.Item"
"-3.2359 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
