"DS1TLYCO.Code.or.Value","DS1TLYCO.Value.Description","DS1TLYCO.Count","DS1TLYCO.Cumulative","DS1TLYCO.Skip.to.Item"
"18 to 37500","Range of Values",428,428,NA
".","Missing",8910,9338,NA
