"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",391,391,""
"2","No",1636,2027,"DRD370E"
".","Missing",8450,10477,""
