"DXXANTV.Code.or.Value","DXXANTV.Value.Description","DXXANTV.Count","DXXANTV.Cumulative","DXXANTV.Skip.to.Item"
"0","Valid",4693,4693,NA
"1","Invalid",59,4752,NA
".","Missing",940,5692,NA
