"MCQ300a.Code.or.Value","MCQ300a.Value.Description","MCQ300a.Count","MCQ300a.Cumulative","MCQ300a.Skip.to.Item"
"1","Yes",709,709,NA
"2","No",4732,5441,NA
"7","Refused",1,5442,NA
"9","Don't know",127,5569,NA
".","Missing",3328,8897,NA
