"VIXKRG2.Code.or.Value","VIXKRG2.Value.Description","VIXKRG2.Count","VIXKRG2.Cumulative","VIXKRG2.Skip.to.Item"
"0 to 179","Range of Values",6441,6441,NA
"888","Could not obtain",51,6492,NA
".","Missing",498,6990,NA
