"LBDVIESI.Code.or.Value","LBDVIESI.Value.Description","LBDVIESI.Count","LBDVIESI.Cumulative","LBDVIESI.Skip.to.Item"
"7.547 to 118.886","Range of Values",6665,6665,NA
".","Missing",770,7435,NA
