"VIQ230.Code.or.Value","VIQ230.Value.Description","VIQ230.Count","VIQ230.Cumulative","VIQ230.Skip.to.Item"
"1","Yes",2570,2570,NA
"2","No",410,2980,NA
".","Missing",4465,7445,NA
