"DR2TCARB.Code.or.Value","DR2TCARB.Value.Description","DR2TCARB.Count","DR2TCARB.Cumulative","DR2TCARB.Skip.to.Item"
"0 to 1197.06","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
