"VTQ200A.Code.or.Value","VTQ200A.Value.Description","VTQ200A.Count","VTQ200A.Cumulative","VTQ200A.Skip.to.Item"
"1","Yes",814,814,NA
"2","No",2096,2910,NA
"7","Refused",0,2910,NA
"9","Don't know",16,2926,NA
".","Missing",468,3394,NA
