"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.3 to 4.4","Range of Values",1888,1888,NA
"777","Refused",5,1893,NA
"888","Could not obtain",0,1893,NA
".","Missing",153,2046,NA
