"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"0.71 to 324.06","Range of Values",2921,2921,NA
".","Missing",270,3191,NA
