"DX2HELE.Code.or.Value","DX2HELE.Value.Description","DX2HELE.Count","DX2HELE.Cumulative","DX2HELE.Skip.to.Item"
"2092 to 4417","Range of Values",479,479,NA
".","Missing",6,485,NA
