"OSD110f.Code.or.Value","OSD110f.Value.Description","OSD110f.Count","OSD110f.Cumulative","OSD110f.Skip.to.Item"
"36","36",1,1,NA
"80","80or older",0,1,NA
"777","Refused",0,1,NA
"999","Don't know",0,1,NA
".","Missing",6217,6218,NA
