"LBDCOTLC.Code.or.Value","LBDCOTLC.Value.Description","LBDCOTLC.Count","LBDCOTLC.Cumulative","LBDCOTLC.Skip.to.Item"
"0","detectable result",6427,6427,NA
"1","below detectable limit",1872,8299,NA
".","Missing",1630,9929,NA
