"DSQTFDFE.Code.or.Value","DSQTFDFE.Value.Description","DSQTFDFE.Count","DSQTFDFE.Cumulative","DSQTFDFE.Skip.to.Item"
"1.5 to 17680","Range of Values",2442,2442,NA
".","Missing",7529,9971,NA
