"DR2TVARA.Code.or.Value","DR2TVARA.Value.Description","DR2TVARA.Count","DR2TVARA.Cumulative","DR2TVARA.Skip.to.Item"
"0 to 17071","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
